material_name	formula	class	Curie temperature (K)	DSm_2T	DSm_5T	doi_link
CdCr2Se4	CdCr2Se4	spinel	130			"<a href=""http://dx.doi.org/10.1063/1.1708484"">http://dx.doi.org/10.1063/1.1708484</a>"
MnB2	MnB2	boride	157			"<a href=""http://dx.doi.org/10.1016/0022-3697(66)90217-4"">http://dx.doi.org/10.1016/0022-3697(66)90217-4</a>"
ZrFe2	ZrFe2	laves	633			"<a href=""http://dx.doi.org/10.1016/0022-5088(67)90033-1"">http://dx.doi.org/10.1016/0022-5088(67)90033-1</a>"
ScFe2	ScFe2	laves	545			"<a href=""http://dx.doi.org/10.1063/1.30654"">http://dx.doi.org/10.1063/1.30654</a>"
MnGe4	MnGe4	other	340			"<a href=""http://dx.doi.org/10.1016/0022-4596(90)90232-M"">http://dx.doi.org/10.1016/0022-4596(90)90232-M</a>"
MnGa2Sb2	MnGa2Sb2	other	310			"<a href=""http://doi.org/10.2109/jcersj2.117.72"">http://doi.org/10.2109/jcersj2.117.72</a>"
Ni3Pt	Ni3Pt	close packed	450			"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>"
NiPt	NiPt	close packed	200			"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>"
CoPt	CoPt	close packed	840			"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>"
CoPt3	CoPt3	close packed	400			"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>"
FePd	FePd	close packed	760			"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>"
FePt	FePt	close packed	750			"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>"
MnAl	MnAl	close packed	650			"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>"
