,material_name,formula,class,âˆ’Î”Sm(H = 2T) (J kgâÅ»Â_ KâÅ»Â_),âˆ’Î”Sm(H = 5T) (J kgâÅ»Â_ KâÅ»Â_),Curie temperature (K),energy of spin-polarization (eV/atom),"magnetic deformation (Î£m), %",magnetic volume change (%),largest local moment (ÂµB),element carrying largest moment,theoretical density (g/cmÂ_),gravimetric moment (emu/g),volumetric moment (emu/cmÂ_),moment per atom (ÂµB/atom),source (experimental),cid
84,MnPtSn,MnPtSn,halfÃ¢Â€Â“heusler,,,330,0.562480467,1.297636649,6.817933227,3.751,Mn,10.2459495,55.5485585,569.1477253,1.222452867,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",84
85,VCoSb,VCoSb,halfÃ¢Â€Â“heusler,,,58,0.042400937,0.24353217,1.26809539,1.172,V,7.800852788,24.08419992,187.8772981,0.3329595,"<a href=""http://dx.doi.org/10.1143/JPSJ.32.91"">http://dx.doi.org/10.1143/JPSJ.32.91</a>",85
86,MnPdSb,MnPdSb,halfÃ¢Â€Â“heusler,,,500,0.234273623,1.52139682,8.008671654,3.245,Mn,8.147157316,66.28652761,540.0467684,1.120078133,"<a href=""http://dx.doi.org/10.1143/JPSJ.29.643"">http://dx.doi.org/10.1143/JPSJ.29.643</a>",86
87,TiCoSn,TiCoSn,halfÃ¢Â€Â“heusler,,,134,0.00041731,0.212048612,1.103857846,0.605,Co,6.503502847,9.194916319,59.79916445,0.123756933,"<a href=""http://dx.doi.org/10.1088/0953-8984/7/37/010"">http://dx.doi.org/10.1088/0953-8984/7/37/010</a>",87
88,MnPtGa,MnPtGa,Ni2In-NiTiSi,,,220,0.370337365,2.401957173,8.222570223,3.656,Mn,11.742841,65.51481648,769.3300733,1.250232283,"<a href=""http://dx.doi.org/10.1016/0022-5088(84)90341-2"">http://dx.doi.org/10.1016/0022-5088(84)90341-2</a>",88
89,BaFeO3,BaFeO3,perovskite,,,110,0.217894518,0.812415809,4.250999388,2.992,Fe,6.419987372,83.81293499,538.0779843,0.72383822,"<a href=""10.1002/anie.201105276"">10.1002/anie.201105276</a>",89
90,Fe2Zr,Fe2Zr,laves,,,600,0.110429965,1.011078965,5.299457973,1.973,Fe,7.801643328,84.27307662,657.4684859,1.020602033,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/37/376202"">http://dx.doi.org/10.1088/0953-8984/19/37/376202</a>",90
91,Fe5C2,Fe5C2,close packed,,,519,0.089924806,0.934609181,4.814317983,2.132,Fe,7.826698655,153.2398934,1199.362468,1.188628879,"<a href=""http://dx.doi.org/10.1016/0025-5408(86)90135-2"">http://dx.doi.org/10.1016/0025-5408(86)90135-2</a>",91
92,Fe7C3,Fe7C3,close packed,,,523,0.071059137,1.019870287,3.714645608,2.025,Fe,7.863369637,151.2655331,1189.4568,1.156354175,"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>",92
93,Co3Sn2S2,Co3Sn2S2,other,,,177,0.005620777,0.019676113,-0.080748737,0.387,Co,7.227517375,11.63923146,84.12274762,0.142412629,"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>",93
94,Ni3Al,Ni3Al,L12,,,41.5,0.003993115,0.077222969,0.401530552,0.333,Ni,7.471493901,22.16289928,165.5899668,0.201451925,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",94
95,ZrZn2,ZrZn2,laves,,,17,0.016888913,0.00868727,0.045143774,0.517,Zr,7.310785663,22.1349235,161.8236814,0.293288067,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",95
96,Au4V,Au4V,other,,,44,0.064295308,0.117369765,0.563745612,1.814,V,16.36405114,12.72364415,208.2103636,0.38219116,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",96
97,CrBe12,CrBe12,other,,,50,0.006040232,0.293490059,1.060982348,1.678,Cr,2.490143591,47.38989986,118.0076554,0.104526369,"<a href=""https://doi.org/10.1103/PhysRev.171.591"">https://doi.org/10.1103/PhysRev.171.591</a>",97
98,MnCo2Si,MnCo2Si,heusler,,,985,0.363469052,0.753800467,3.942321601,2.997,Mn,7.506154852,138.8738089,1042.408315,1.248806875,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",98
99,MnCo2Sn,MnCo2Sn,heusler,,,829,0.434472917,0.606680354,3.168908779,3.208,Mn,9.071219873,96.49661262,875.34199,1.259183175,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",99
100,MnCo2Ga,MnCo2Ga,heusler,,,694,0.32374509,0.454825038,2.372624885,2.765,Mn,8.67108643,94.32186502,817.8730438,1.023976575,"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>",100
101,MnCo2Ge,MnCo2Ge,heusler,,,905,0.39042697,0.587221739,3.066758773,3.064,Mn,8.69061614,113.6893339,988.0303599,1.24907835,"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>",101
102,MnCu2Al,MnCu2Al,heusler,,,600,0.274968097,1.199089948,6.294914798,3.447,Mn,6.680401825,94.88029773,633.8385141,0.887693525,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",102
103,MnCu2In,MnCu2In,heusler,,,520,0.358622805,1.125841254,5.906715662,3.633,Mn,8.333109424,69.94216281,582.835696,0.929372925,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",103
104,MnCu2Sn,MnCu2Sn,heusler,,,530,0.345822753,1.488363618,7.832608947,3.697,Mn,8.276868409,72.88579695,603.2661503,0.981185075,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",104
105,MnNi2Ga,MnNi2Ga,heusler,,,379,0.30837667,0.743174057,3.886393899,3.384,Mn,8.260371625,93.69413322,773.9483595,1.01515035,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",105
106,MnNi2In,MnNi2In,heusler,,,323,0.355408407,0.207748017,1.081430203,3.505,Mn,8.946825976,81.29723232,727.3521899,1.044938,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",106
107,MnNi2Sn,MnNi2Sn,heusler,,,344,0.354852718,1.069412546,5.607981116,3.589,Mn,8.709914176,78.70943309,685.552407,1.025388725,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",107
108,MnNi2Sb,MnNi2Sb,heusler,,,360,0.353644415,1.116199763,5.855653522,3.584,Mn,8.801187698,75.55381212,664.9632818,0.9945939,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",108
109,MnPd2Sn,MnPd2Sn,heusler,,,189,0.489898653,1.031543434,5.407659175,3.919,Mn,9.729742323,60.08136784,584.5762274,1.0394238,"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>",109
110,MnPd2Sb,MnPd2Sb,heusler,,,247,0.51091557,1.291728034,6.786550234,3.989,Mn,9.599340041,62.011419,595.2686974,1.0812804,"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>",110
111,TiCo2Sn,TiCo2Sn,heusler,,,371,0.041351892,0.250526698,1.304595201,1.055,Co,8.403162154,39.3658567,330.7976772,0.501224625,"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>",111
112,TiCo2Ge,TiCo2Ge,heusler,,,384,0.037278015,0.204627922,1.065159917,1.03,Co,7.961884738,47.19427317,375.7553633,0.503574725,"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>",112
113,FeCo2Si,FeCo2Si,heusler,,,1015,0.301078685,0.829970191,4.343502935,2.779,Fe,7.580379402,148.8711704,1128.499954,1.34475115,"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>",113
114,FeCo2Ge,FeCo2Ge,heusler,,,980,0.32332755,0.83133648,4.350703796,2.857,Fe,8.74117635,126.0741304,1102.036207,1.390265825,"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>",114
115,TiCo2Al,TiCo2Al,heusler,,,120,0.009583555,0.125798541,0.654380016,0.595,Co,6.470607236,28.79416399,186.3157259,0.248391425,"<a href=""http://dx.doi.org/10.1063/1.4873020"">http://dx.doi.org/10.1063/1.4873020</a>",115
116,VCo2Ga,VCo2Ga,heusler,,,358,0.046656347,0.190547928,0.991748167,0.93,Co,8.317116896,46.84172612,389.5881117,0.5001432,"<a href=""http://dx.doi.org/10.1007/s10948-010-0933-3"">http://dx.doi.org/10.1007/s10948-010-0933-3</a>",116
117,Fe3Si,Fe3Si,heusler,,,600,0.254434817,0.777587122,4.067549153,2.561,Fe,7.418695437,145.9653178,1082.872237,1.2781472,"<a href=""http://dx.doi.org/10.1143/JPSJ.18.797"">http://dx.doi.org/10.1143/JPSJ.18.797</a>",117
118,Fe3Ge-heusler,Fe3Ge,heusler,,,740,0.282029935,0.816849934,4.27436261,2.587,Fe,8.602327131,125.1977945,1076.992384,1.345988375,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>",118
119,VCo2Sn,VCo2Sn,heusler,,,95,0.058972953,0.273509136,1.424556189,1.05,Co,8.796407854,57.27105217,503.7795331,0.737083825,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",119
120,CrCo2Ga,CrCo2Ga,heusler,,,495,0.131173437,0.234059842,1.218672574,1.614,Cr,8.54122131,70.46594608,601.8652403,0.755712575,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",120
121,CrCo2Al,CrCo2Al,heusler,,,334,0.124774705,0.343762848,1.791551431,1.554,Cr,7.057275724,85.15777296,600.9818838,0.750349,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",121
122,MnCo2Al,MnCo2Al,heusler,,,697,0.312389725,0.458032756,2.389423925,2.702,Mn,7.207038726,112.6008083,811.5183864,1.0069854,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",122
123,VMn2Al,VMn2Al,heusler,,,760,0.058542577,0.37743394,1.967600916,1.418,Mn,6.37809001,59.47399435,379.3304892,0.49996225,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",123
124,WMn2Sn,WMn2Sn,heusler,,,258,-5.32E-05,0.062975405,0.327408205,0,Mn,12.07303256,0.004501302,0.054344366,8.31E-05,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",124
125,ZrCo2Sn,ZrCo2Sn,heusler,,,448,0.045317557,0.242585666,1.263156551,1.076,Co,8.803832767,34.05101171,299.7794127,0.499639,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",125
126,HfCo2Sn,HfCo2Sn,heusler,,,394,0.03502003,0.246257101,1.282314477,1.064,Co,11.3115456,26.88578432,304.1197754,0.499524875,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",126
127,NbCo2Sn,NbCo2Sn,heusler,,,105,0.023800708,0.131068479,0.681824262,0.853,Co,9.316987265,28.98289999,270.0333101,0.427456,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",127
128,CrFe2Al,CrFe2Al,heusler,,,210,0.001685545,0.179534274,0.934336419,0.207,Fe,7.002582083,5.037020448,35.27214914,0.04299,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>",128
129,Fe3Al,Fe3Al,heusler,,,400,0.237941858,1.233175608,6.475721339,2.405,Fe,6.881121978,169.8671477,1168.876564,1.479049375,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>",129
130,MnGeP2,MnGeP2,chalcopyrite,,,320,0.05495536,1.577245942,8.140893873,3.149,Mn,3.93150999,98.9279315,388.936151,0.83927375,"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>",130
131,MnGeAs2,MnGeAs2,chalcopyrite,,,340,0.178699261,1.823190062,9.615728962,3.76,Mn,4.842462808,83.57086211,404.6887916,1.037794488,"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>",131
132,HgCr2S4,HgCr2S4,spinel,,,36,0.357881029,1.231372773,6.466155679,2.933,Cr,5.222852507,77.31786753,403.8198183,0.856028543,"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>",132
133,HgCr2Se4,HgCr2Se4,spinel,,,106,0.390825376,1.129453298,5.925847461,3.013,Cr,6.389270762,53.93143571,344.5825453,0.855870571,"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>",133
134,MnAs-h,MnAs,,20,30,318,0.20978159,3.973417539,13.16174603,2.907,Mn,6.783635815,121.4804377,824.0790483,1.4123009,"<a href=""http://dx.doi.org/10.1063/1.1419048"">http://dx.doi.org/10.1063/1.1419048</a>",134
135,MnFePAs-AsRich,MnFeP0.333As0.667,,12,33,325,0.195716804,5.057420942,6.631526422,2.956,Mn,7.650587526,141.7202974,1084.243539,1.446852444,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",135
136,MnFePAs-Prich,MnFeP0.667As0.333,,11,16,225,0.109452013,3.138518016,7.103789267,2.998,Mn,7.22296409,146.0437122,1054.868489,1.363301856,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",136
137,MnFePSiGe,MnFeGe0.333P0.333Si0.333,,14,35,275,0.223287829,6.141137019,5.796617651,2.883,Mn,7.128889444,154.6706335,1102.629847,1.427924889,"<a href=""http://dx.doi.org/10.1063/1.2170589"">http://dx.doi.org/10.1063/1.2170589</a>",137
138,MnFePSi-PRich,MnFeP0.667Si0.333,,16,,250,0.099905006,5.015077325,7.104635985,2.932,Mn,6.665149822,171.1291252,1140.601258,1.4380161,"<a href=""http://dx.doi.org/10.1016/j.jallcom.2012.11.127"">http://dx.doi.org/10.1016/j.jallcom.2012.11.127</a>",138
139,Mn5Ge3,Mn5Ge3,,3.8,9.4,300,0.188279839,2.330442472,11.31747747,3.123,Mn,7.493140106,152.4837956,1142.582444,1.681178213,"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01935-1"">http://dx.doi.org/10.1016/S0925-8388(01)01935-1</a>",139
140,AlFe2B2-conv,AlFe2B2,layered,4.5,7.5,275,0.028894081,2.119297655,1.773802042,1.372,Fe,5.84969129,92.32595038,540.0783078,0.52996418,"<a href=""http://dx.doi.org/10.1021/ja404107p"">http://dx.doi.org/10.1021/ja404107p</a>",140
141,LaMnO3,LaMnO3,,3,7,300,0.176532769,1.42837404,7.421542498,2.895,Mn,6.546219487,71.20565488,466.1278455,0.61666953,"<a href=""http://dx.doi.org/10.1016/j.jmmm.2006.07.025"">http://dx.doi.org/10.1016/j.jmmm.2006.07.025</a>",141
142,MnCoGe-o,MnCoGe,,3,6,235,0.168464378,1.933474194,4.670139842,2.693,Mn,8.436962664,90.70790597,765.299216,1.00973085,"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>",142
143,Mn5PB2,Mn5PB2,,2.6,5,302,0.066704192,1.076395895,4.028738538,1.737,Mn,7.011076583,138.0219032,967.6821335,1.011025269,"<a href=""http://dx.doi.org/10.1063/1.3518064"">http://dx.doi.org/10.1063/1.3518064</a>",143
144,Y2Fe17,Y2Fe17,,2.5,4.8,300,0.145078367,1.976430983,10.3630683,2.612,Fe,7.425017934,187.3497857,1391.075519,1.990070508,"<a href=""http://dx.doi.org/10.1016/j.cap.2016.05.013"">http://dx.doi.org/10.1016/j.cap.2016.05.013</a>",144
145,Mn3GaC_FM-PM,Mn3GaC,,2.5,4.5,250,0.09881196,0.442095951,2.305970822,1.789,Mn,7.401970614,94.96759619,702.9473563,0.83846168,"<a href=""http://dx.doi.org/10.1088/1674-1056/22/6/067501"">http://dx.doi.org/10.1088/1674-1056/22/6/067501</a>",145
146,MnP,MnP,,1.8,3.8,290,0.00814974,0.412465808,1.221116626,0.795,Mn,6.174903702,46.93830376,289.8395057,0.361016488,"<a href=""http://dx.doi.org/10.1063/1.3072022"">http://dx.doi.org/10.1063/1.3072022</a>",146
147,MnSi,MnSi,,2.2,3.55,31,0.027106496,0.229657617,1.195706262,1.071,Mn,5.993542567,66.8997345,400.9664064,0.4972471,"<a href=""http://dx.doi.org/10.1063/1.2768005"">http://dx.doi.org/10.1063/1.2768005</a>",147
148,Mn3Sn2,Mn3Sn2,,1.9,3.5,280,0.130955907,2.756474918,8.152116119,2.768,Mn,7.9126047,107.3448191,849.3771198,1.546203615,"<a href=""http://dx.doi.org/10.1063/1.3074093"">http://dx.doi.org/10.1063/1.3074093</a>",148
149,Mn3AlC,Mn3AlC,,1.6,3.5,288,0.088851218,0.4331286,2.259023248,1.638,Mn,6.165657309,107.0257767,659.8842625,0.78111072,"<a href=""http://dx.doi.org/10.1088/1674-1056/22/6/067501"">http://dx.doi.org/10.1088/1674-1056/22/6/067501</a>",149
150,Fe5Si3,Fe5Si3,,1,2.8,373,0.082502196,0.960135321,3.134434333,1.783,Fe,6.700832305,111.6545733,748.1785716,0.908334194,"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01776-5"">http://dx.doi.org/10.1016/S0925-8388(01)01776-5</a>",150
151,La2MnNiO6_cubic,La2MnNiO6,,1,2.1,280,0.194591499,0.269130908,1.401699588,2.955,Mn,6.995328061,57.21723414,400.2533236,0.49937153,"<a href=""http://dx.doi.org/10.1063/1.4874943"">http://dx.doi.org/10.1063/1.4874943</a>",151
152,SrRuO3,SrRuO3,,0.6,2,160,0.022065991,0.166850201,0.838822437,1.411,Ru,6.309359006,47.30974824,298.4941862,0.40099048,"<a href=""http://dx.doi.org/10.1016/j.jallcom.2007.05.022"">http://dx.doi.org/10.1016/j.jallcom.2007.05.022</a>",152
153,MnFeGe-h,MnFeGe,,0.75,1.6,235,0.198716948,1.423014832,3.678022163,2.427,Mn,8.364671278,83.7626576,700.6470962,0.916979883,"<a href=""http://dx.doi.org/10.1109/TMAG.2006.884516"">http://dx.doi.org/10.1109/TMAG.2006.884516</a>",153
154,Fe3GeTe2,Fe3GeTe2,,,1.1,225,0.129835168,1.23805327,6.121707689,2.449,Fe,7.001880866,70.78315524,495.6152204,1.04638035,"<a href=""http://dx.doi.org/10.1021/acs.inorgchem.5b01260"">http://dx.doi.org/10.1021/acs.inorgchem.5b01260</a>",154
155,CrO2,CrO2,,6.8,,396,0.137806203,3.091538313,3.896364838,2.13,Cr,4.830043811,132.9675983,642.2393251,0.666583117,"<a href=""http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta"">http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta</a>",155
156,Fe3C,Fe3C,intercalation,3.1,,475,0.077411229,1.053843177,5.525606134,1.932,Fe,7.93594648,170.1533831,1350.328142,1.367516038,"<a href=""http://dx.doi.org/10.1016/j.jmmm.2016.02.080"">http://dx.doi.org/10.1016/j.jmmm.2016.02.080</a>",156
157,MnNi2Ga_FM-PM,MnNi2Ga,,1.5,,329,0.308398493,0.751548426,3.930468076,3.384,Mn,8.26014693,93.69560072,773.9394287,1.01516625,"<a href=""http://dx.doi.org/10.1016/S0921-4526(02)01119-5"">http://dx.doi.org/10.1016/S0921-4526(02)01119-5</a>",157
158,Ni,Ni,,1.4,2.5,627,0.063832705,0.065505094,0.34056747,0.617,Ni,9.034217923,55.56428847,501.9798907,0.583931425,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",158
159,MnB,MnB,,5.1,9.4,571,0.092797639,1.71924682,3.636923327,1.927,Mn,6.584730044,155.076868,1021.139312,0.912815488,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",159
160,FeB,FeB,,1.7,3.2,573,0.057108554,2.166755834,1.518341071,1.258,Fe,7.001857008,96.60014989,676.3804365,0.576452963,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",160
161,MnNiSb,MnNiSb,half heusler,1.5,3,765,0.52596809,1.613884661,8.502128916,3.683,Mn,7.602480883,94.89562291,721.442159,1.3331909,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",161
162,Fe2P,Fe2P,Fe2P,1.5,2.9,223,0.067449903,1.234798371,3.637429542,2.269,Fe,7.149891341,116.7408874,834.68466,0.994013644,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",162
163,MnNi2Sn,MnNi2Sn,,1.15,2.1,350,0.355904985,0.926793032,4.854206025,3.596,Mn,8.742453663,79.9610177,699.0554921,1.041693769,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",163
164,FeRu2Sn,FeRu2Sn,,0.29,0.57,545,0.268362767,0.668352323,3.492884908,3.141,Fe,10.39445472,61.67937331,641.1234533,1.04003185,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",164
165,MnFe2Si,MnFe2Si,heusler,1.7,0.7,250,0.217271773,0.388569917,2.025847747,2.539,Mn,7.464731976,86.07052253,642.4933817,0.7501832,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",165
166,MnCoP,MnCoP,,3.1,6,583,0.129019808,3.030272559,5.532535003,2.737,Mn,7.134207539,114.8611979,819.4436241,0.992961517,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",166
