,material_name,formula,class,âˆ’Î”Sm(H = 2T) (J kgâÅ»Â_ KâÅ»Â_),âˆ’Î”Sm(H = 5T) (J kgâÅ»Â_ KâÅ»Â_),Curie temperature (K),energy of spin-polarization (eV/atom),"magnetic deformation (Î£m), %",magnetic volume change (%),largest local moment (ÂµB),element carrying largest moment,theoretical density (g/cmÂ_),gravimetric moment (emu/g),volumetric moment (emu/cmÂ_),moment per atom (ÂµB/atom),source (experimental),cid
21,MnTa4S8,MnTa4S8,layered,,,75,0.046605923,1.841205568,7.566883688,3.885,Mn,7.130494593,21.72575712,154.9153937,0.309780062,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.347"">http://dx.doi.org/10.1143/JPSJ.55.347</a>",21
22,Cr2Te3,Cr2Te3,Ni2In-NiTiSi,,,180,0.320490283,3.734551076,16.38680832,3.189,Cr,6.40944592,69.34126611,444.4390951,1.20876589,"<a href=""http://dx.doi.org/10.1016/0304-8853(87)90416-1"">http://dx.doi.org/10.1016/0304-8853(87)90416-1</a>",22
23,Cr3Te4,Cr3Te4,Ni2In-NiTiSi,,,317,0.269812501,6.089543927,22.67488636,3.401,Cr,6.402635936,83.71771838,536.0140722,1.426998543,"<a href=""http://dx.doi.org/10.1007/BF00560631"">http://dx.doi.org/10.1007/BF00560631</a>",23
24,CuCr2Se4,CuCr2Se4,spinel,,,430,0.300656344,1.274259692,6.693786935,2.86,Cr,5.711231199,59.27888307,338.5554064,0.732935664,"<a href=""http://dx.doi.org/10.1016/0022-3697(78)90008-2"">http://dx.doi.org/10.1016/0022-3697(78)90008-2</a>",24
25,CuCr2S4,CuCr2S4,spinel,,,375,0.238681536,1.359585913,7.147155288,2.741,Cr,4.132933708,94.88998798,392.1740298,0.717950829,"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>",25
26,CuCr2Te4,CuCr2Te4,spinel,,,329,0.326138205,1.383075609,7.272076787,2.959,Cr,6.401662643,44.34456546,283.8789482,0.768969814,"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>",26
27,Ba2MnReO6,Ba2MnReO6,double perovskite,,,110,0.124347762,1.671814137,8.811586025,4.265,Mn,7.266496011,35.7767374,259.9715196,0.39190767,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",27
28,Ba2FeMoO6,Ba2FeMoO6,double perovskite,,,308,0.100269305,1.191748559,6.25598599,3.733,Fe,6.408431655,42.76594152,274.0626134,0.40004372,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",28
29,Ba2FeReO6,Ba2FeReO6,double perovskite,,,303,0.141884961,0.919466563,4.815532672,3.669,Fe,7.495536595,27.33908593,204.9211191,0.29992343,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",29
30,Sr2CrMoO6,Sr2CrMoO6,double perovskite,,,420,0.065197179,0.306649857,1.597623473,0.481,Mo,5.733928839,26.66713338,152.9074451,0.20014555,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",30
31,Sr2FeMoO6,Sr2FeMoO6,double perovskite,,,420,-0.036715571,1.353469348,7.114634503,0.714,Fe,5.564216644,7.294273414,40.58691753,0.05524859,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",31
