,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
12,MnP,MnP,NiAs,1.8,3.8,290.0,"<a href=""http://dx.doi.org/10.1063/1.3072022"">http://dx.doi.org/10.1063/1.3072022</a>",291.5025396821728,615.3942504401425,0.008149739999999461,0.4124658329296356,0.795,46.93829994025151,289.83946412464053,0.3610164875,Mn,0.722032975,-47.2101343757335,1.199863189250003,2.399726378500006,6.1749033197534136,62.0,Pnma,2.6984528185438608,1,8.0,12
13,MnFePSiGe,MnFeGe0.333P0.333Si0.333,Fe2P,14.0,35.0,275.0,"<a href=""http://dx.doi.org/10.1063/1.2170589"">http://dx.doi.org/10.1063/1.2170589</a>",1963.8401188195032,4909.600297048758,0.2232878288888887,6.141137063257688,2.883,154.67060117869556,1102.629687493801,1.427924888888889,Mn,2.1418873333333335,26.070123520755118,1.3363824365202301,2.004573654780345,7.1288899059744395,174.0,P-6,2.632740812835638,2,9.0,13
14,CrO2,CrO2,oxide,6.8,,396.0,"<a href=""http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta"">http://iopscience.iop.org/article/10.1088/0953-8984/18/44/L01/meta</a>",1407.854927090721,,0.1378062033333336,3.091538289811825,2.13,132.96759826787104,642.2392327666716,0.6665831166666667,Cr,1.99974935,100.0,0.8964737387128726,2.689421216138618,4.830043116766259,136.0,P4_2/mnm,2.9225415799999994,1,6.0,14
15,La2MnNiO6_cubic,La2MnNiO6,oxide,1.0,2.1,280.0,"<a href=""http://dx.doi.org/10.1063/1.4874943"">http://dx.doi.org/10.1063/1.4874943</a>",142.95257699469423,300.20041168885786,0.19459149900000056,0.26913085515757773,2.955,57.21723590481213,400.2532665566133,0.49937153,Mn,2.49685765,,1.9773605595442174,9.886802797721087,6.99532684910686,225.0,Fm-3m,3.867619329192412,2,10.0,15
16,SrRuO3,SrRuO3,oxide,0.6,2.0,160.0,"<a href=""http://dx.doi.org/10.1016/j.jallcom.2007.05.022"">http://dx.doi.org/10.1016/j.jallcom.2007.05.022</a>",95.09683697416156,316.9894565805385,0.02206599050000051,0.16685017982482261,1.411,47.30974824262469,298.49414395651706,0.40099048000000004,Ru,2.0049524,-83.91724058044451,1.2299106378125004,6.149553189062502,6.309358114224388,62.0,Pnma,3.957743329999998,1,20.0,16
17,MnB,MnB,boride,5.1,9.4,571.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",774.5188043138178,1427.5444628529192,0.09279763875000135,1.7192468959354295,1.927,155.07676188110412,1021.139165619508,0.9128154875,Mn,1.825630975,32.85484068657733,1.1633583475217393,2.3267166950434786,6.584733606975917,62.0,Pnma,2.6221896641042943,1,8.0,17
18,MnNiSb,MnNiSb,half heusler,1.5,3.0,765.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",197.30400519586897,394.60801039173793,0.5259680900000004,1.6138845963420354,3.683,94.89560476380099,721.44205589944,1.3331909,Mn,1.99978635,100.0,1.0082797388755005,1.5124196083132508,7.602481249739,216.0,F-43m,2.555928902694127,2,3.0,18
19,AlFe2B2-conv,AlFe2B2,layered,4.5,7.5,275.0,"<a href=""http://dx.doi.org/10.1021/ja404107p"">http://dx.doi.org/10.1021/ja404107p</a>",769.2712886977052,1282.1188144961752,0.028894081000001393,2.119297667397275,1.372,92.32592814255834,540.0782308473433,0.52996418,Fe,1.32491045,-13.689927920505616,0.6481774332598428,1.620443583149607,5.849691865685021,65.0,Cmmm,2.7052901045876356,1,10.0,19
20,Fe2P,Fe2P,Fe2P,1.5,2.9,223.0,"<a href=""dx.doi.org/10.1021/acs.chemmater.6b04729"">dx.doi.org/10.1021/acs.chemmater.6b04729</a>",209.79348363926178,405.6007350359061,0.06744990333333413,1.2347983500369604,2.269,116.74091850085003,834.6845417390449,0.9940136444444444,Fe,1.4910204666666667,-79.65408641669352,1.1611787443919477,1.7417681165879217,7.149888423509083,189.0,P-62m,2.5756009462340947,2,9.0,20
21,Fe3C,Fe3C,intercalation,3.1,,475.0,"<a href=""http://dx.doi.org/10.1016/j.jmmm.2016.02.080"">http://dx.doi.org/10.1016/j.jmmm.2016.02.080</a>",390.6276907826257,,0.07741122874999995,1.0538432060878102,1.932,170.1533831094256,1350.3279467526177,1.3675160375,Fe,1.8233547166666666,-36.12758417252206,1.8571352635679135,2.4761803514238845,7.935945334006214,62.0,Pnma,2.4704424958777973,2,16.0,21
22,Fe5Si3,Fe5Si3,Mn5Si3,1.0,2.8,373.0,"<a href=""http://dx.doi.org/10.1016/S0925-8388(01)01776-5"">http://dx.doi.org/10.1016/S0925-8388(01)01776-5</a>",149.23521361763778,417.8585981293858,0.0825021962500001,0.9601352897787276,1.783,111.65457327745702,748.1784665349305,0.90833419375,Fe,1.45333471,-24.985214541464014,1.236042119628913,1.977667391406261,6.700831363850523,193.0,P6_3/mcm,2.3349015599999996,2,16.0,22
23,LaMnO3,LaMnO3,oxide,3.0,7.0,300.0,"<a href=""http://dx.doi.org/10.1016/j.jmmm.2006.07.025"">http://dx.doi.org/10.1016/j.jmmm.2006.07.025</a>",458.27981295317863,1069.3195635574168,0.17653276900000064,1.428374044097415,2.895,71.20565046129447,466.1277790250563,0.61666953,Mn,3.08334765,-14.589291437506422,1.5586817376841977,7.793408688420988,6.546218958823095,62.0,Pnma,3.9381028099999984,1,20.0,23
