,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
57,Cr2Te3,Cr2Te3,Ni2In-TiNiSi,,,180.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(87)90416-1"">http://dx.doi.org/10.1016/0304-8853(87)90416-1</a>",,,0.32049028349999986,3.734555237860815,3.189,69.34126610543473,444.43903206355117,1.20876589,Cr,3.021914725,88.75677537783436,3.403829468520025,8.509573671300062,6.409445010533455,163.0,P-31c,3.1561869775800786,3,20.0,57
58,Cr3Te4,Cr3Te4,Ni2In-TiNiSi,,,317.0,"<a href=""http://dx.doi.org/10.1007/BF00560631"">http://dx.doi.org/10.1007/BF00560631</a>",,,0.269812501428571,6.462334766852076,3.401,83.71771838281076,536.0139966638337,1.426998542857143,Cr,3.329663266666667,98.120090203259,1.0903185329714276,2.5440765769333313,6.402635033755174,12.0,C2/m,3.22045234287217,2,7.0,58
59,CuCr2Se4,CuCr2Se4,spinel,,,430.0,"<a href=""http://dx.doi.org/10.1016/0022-3697(78)90008-2"">http://dx.doi.org/10.1016/0022-3697(78)90008-2</a>",,,0.3006563435714286,1.2742596795258905,2.86,59.27888306764766,338.55535748248786,0.7329356642857142,Cr,2.565274825,69.93242797803097,2.5552056300621113,8.94321970521739,5.711230373489603,227.0,Fd-3m,3.6763808298342133,1,14.0,59
60,CuCr2S4,CuCr2S4,spinel,,,375.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>",,,0.23868153642857134,1.35958599612285,2.741,94.88998798167128,392.1739734367644,0.7179508285714286,Cr,2.5128279,82.50924055816496,2.271574642111774,7.950511247391209,4.132933113159586,227.0,Fd-3m,3.4765388133810817,1,14.0,60
61,CuCr2Te4,CuCr2Te4,spinel,,,329.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.25.369"">http://dx.doi.org/10.1143/JPSJ.25.369</a>",,,0.32613820500000046,1.3830756113724376,2.959,44.34456546260411,283.87890765140605,0.7689698142857143,Cr,2.69139435,64.9548068560175,6.137890248380572,21.482615869332,6.401661729909201,227.0,Fd-3m,3.9615684126934005,1,14.0,61
62,Ba2MnReO6,Ba2MnReO6,oxide,,,110.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.1243477619999993,1.6718141950758194,4.265,35.77673477039373,259.97148214743976,0.39190767000000004,Mn,1.95953835,-27.827179308054568,0.0,0.0,7.266495498146286,225.0,Fm-3m,4.119395039999997,2,10.0,62
63,Ba2FeMoO6,Ba2FeMoO6,oxide,,,308.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.10026930499999906,1.191748638023771,3.733,42.76594151544861,274.06257371808294,0.40004372000000005,Fe,2.0002186,-100.0,0.5171755116992683,2.5858775584963416,6.4084307279679935,225.0,Fm-3m,4.075366449999997,2,10.0,63
64,Ba2FeReO6,Ba2FeReO6,oxide,,,303.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.14188496099999953,0.9194665648847707,3.669,27.33908593388895,204.92108991620765,0.29992343,Fe,1.49961715,-100.0,1.066565343157896,5.332826715789481,7.495535527842642,225.0,Fm-3m,4.07901532,2,10.0,64
65,Sr2CrMoO6,Sr2CrMoO6,oxide,,,420.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.06519717900000047,0.30664978211358196,2.331,26.667133381841605,152.90742383625127,0.20014555,Cr,-1.00072775,100.0,0.8562294000367038,4.281147000183519,5.733928039688368,225.0,Fm-3m,3.9299456699999977,2,10.0,65
66,Sr2FeMoO6,Sr2FeMoO6,oxide,,,420.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,-0.036715570999999156,1.3534694327498018,0.714,7.294273413827291,40.586911712567556,0.05524859,Fe,0.5524859,-72.54702686775558,0.0,0.0,5.564215845766012,225.0,Fm-3m,5.630852518934585,1,10.0,66
67,Sr2CrReO6,Sr2CrReO6,oxide,,,620.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.07426454600000057,0.3055570980199999,2.32,10.8494169140791,75.46158668415183,0.09896368,Cr,-0.4948184,100.0,0.49363374639999985,2.468168731999999,6.955358733263042,225.0,Fm-3m,3.9324576899999997,2,10.0,67
68,Sr2CrWO6,Sr2CrWO6,oxide,,,458.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.0738994489999996,0.2523351811904259,2.291,22.04154480769515,151.15999749072108,0.20011927,Cr,1.00059635,-100.0,0.8618663768508249,4.309331884254124,6.857958405798675,225.0,Fm-3m,3.944858549999997,2,10.0,68
69,Sr2FeReO6,Sr2FeReO6,oxide,,,400.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/2/023201"">http://dx.doi.org/10.1088/0953-8984/19/2/023201</a>",,,0.09999346700000018,1.156411495678747,3.707,32.677200339029675,219.91173676410637,0.30031921,Fe,1.50159605,-100.0,0.8797895858333333,4.398947929166667,6.729821847725542,225.0,Fm-3m,3.9858932099999995,2,10.0,69
70,La2MnCoO6,La2MnCoO6,oxide,,,230.0,"<a href=""http://dx.doi.org/10.1088/1742-6596/325/1/012007"">http://dx.doi.org/10.1088/1742-6596/325/1/012007</a>",,,0.14870034099999999,0.6901179161025742,2.9,68.69392206799404,468.48184865283895,0.599830875,Mn,2.999154375,-100.0,2.0090963897565315,10.045481948782658,6.8198442387541975,14.0,P2_1/c,3.892673573150336,2,20.0,70
71,CdCr2S4,CdCr2S4,spinel,,,86.0,"<a href=""http://dx.doi.org/10.1063/1.1708484"">http://dx.doi.org/10.1063/1.1708484</a>",,,0.3809295885714284,1.2474116244086173,2.945,97.22810155609884,407.2109388073947,0.8571671214285714,Cr,3.000084925,,1.3135755199787837,4.597514319925743,4.188202096823226,227.0,Fd-3m,3.642144126631656,1,14.0,71
72,CdCr2Se4,CdCr2Se4,spinel,,,130.0,"<a href=""http://dx.doi.org/10.1063/1.1708484"">http://dx.doi.org/10.1063/1.1708484</a>",,,0.4147570585714289,1.1690420880591441,3.02,62.96053194103748,348.07239665621006,0.8571509142857143,Cr,3.0000282,,2.6749011025856992,9.362153859049947,5.528422107077808,227.0,Fd-3m,3.837699873909264,1,14.0,72
73,MnB2,MnB2,boride,,,157.0,"<a href=""http://dx.doi.org/10.1016/0022-3697(66)90217-4"">http://dx.doi.org/10.1016/0022-3697(66)90217-4</a>",,,0.14047404333333327,0.42372842443326136,1.837,133.26566675868594,750.159248633309,0.6089421333333334,Mn,1.8268264,-0.3838710522841785,2.562074408309177,7.686223224927532,5.629051104300391,191.0,P6/mmm,2.94221,1,3.0,73
74,ZrFe2,ZrFe2,laves,,,633.0,"<a href=""http://dx.doi.org/10.1016/0022-5088(67)90033-1"">http://dx.doi.org/10.1016/0022-5088(67)90033-1</a>",,,0.10983412166666658,0.9142380409507975,1.956,83.67312550883626,656.8326605075687,1.0133362333333333,Fe,1.0133362333333333,-11.564285216481027,2.7438160117886903,2.7438160117886903,7.849983570151257,227.0,Fd-3m,2.475801302686339,2,6.0,74
75,ScFe2,ScFe2,laves,,,545.0,"<a href=""http://dx.doi.org/10.1063/1.30654"">http://dx.doi.org/10.1063/1.30654</a>",,,0.08886250416666641,1.001322478660658,1.794,94.20064860438234,587.3381594551903,0.880701075,Fe,0.880701075,6.731659919187363,2.201837759717734,2.201837759717734,6.234969378203056,194.0,P6_3/mmc,2.4307563079808494,3,12.0,75
76,MnGe4,MnGe4,other,,,340.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(90)90232-M"">http://dx.doi.org/10.1016/0022-4596(90)90232-M</a>",,,0.023544667999999547,1.601139740139653,1.781,25.214870689065695,168.50660868671318,0.31196736,Mn,1.5598368,-47.663841888899626,0.7112326288818899,3.5561631444094495,6.682826605166182,65.0,Cmmm,2.75790543,1,5.0,76
77,MnGa2Sb2,MnGa2Sb2,other,,,310.0,"<a href=""http://doi.org/10.2109/jcersj2.117.72"">http://doi.org/10.2109/jcersj2.117.72</a>",,,0.06413266300000017,1.9506509646729744,2.868,34.66303459985166,237.56386679337808,0.54356609,Mn,2.71783045,-15.03439366306625,1.057503701470595,5.287518507352975,6.853521901235811,72.0,Ibam,2.9346039149999985,1,10.0,77
78,Ni3Pt,Ni3Pt,close packed,,,450.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",,,0.04050535749999984,0.09901427365229527,0.755,34.83760821356155,442.4944231105266,0.578803625,Ni,0.578803625,-66.61916722708601,3.1202378725898248,3.1202378725898248,12.701630387423462,221.0,Pm-3m,2.5791121984995824,2,4.0,78
79,NiPt,NiPt,close packed,,,200.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",,,0.014574795000000584,0.08913724199260958,0.742,23.426002910424646,371.213349017793,0.5322283,Ni,0.5322283,-66.60674763844926,2.245234080464481,2.245234080464481,15.846209463783591,123.0,P4/mmm,2.634215885386874,2,2.0,79
80,CoPt,CoPt,close packed,,,840.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",,,0.1632612,0.7388232181169622,1.868,48.970793437822195,770.3430199807866,1.1136458,Co,1.1136458,-56.364140065712206,2.749744482656251,2.749744482656251,15.730662419404837,123.0,P4/mmm,2.655328505191148,2,2.0,80
81,CoPt3,CoPt3,close packed,,,400.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(86)90378-1"">http://dx.doi.org/10.1016/0304-8853(86)90378-1</a>",,,0.11148447500000014,0.22903713480604224,1.975,25.24814581775665,463.6411097930496,0.72804305,Co,0.72804305,-37.496151749241626,2.894665584487172,2.894665584487172,18.363372627029808,221.0,Pm-3m,2.7410742289129013,2,4.0,81
82,FePd,FePd,close packed,,,760.0,"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>",,,0.3923692750000001,0.09255712670819659,2.875,110.18141280621207,1154.9627165167767,1.6005897,Fe,1.6005897,-56.5892777022926,2.52683991819355,2.52683991819355,10.482373452118772,123.0,P4/mmm,2.62387698739369,2,2.0,82
83,FePt,FePt,close packed,,,750.0,"<a href=""http://dx.doi.org/10.1016/0956-716X(95)00413-P"">http://dx.doi.org/10.1016/0956-716X(95)00413-P</a>",,,0.3388709150000002,1.4905915484780528,2.929,72.14734333815541,1075.5755797257054,1.62075745,Fe,1.62075745,-39.206210780468595,1.869658659346405,1.869658659346405,14.90804137699805,123.0,P4/mmm,2.6951621319930186,2,2.0,83
84,MnAl,MnAl,close packed,,,650.0,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",,,0.16874414000000026,0.40870534390821733,1.909,129.84584913710424,695.09316316305,0.95227555,Mn,1.9045511,-80.47005039963071,2.3097863745736444,4.619572749147289,5.353218202832969,123.0,P4/mmm,2.9009718599999994,1,2.0,84
85,Ni3Mn,Ni3Mn,close packed,,,750.0,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",,,0.2601364325000004,0.9316055287288425,3.229,119.44426982596117,1017.5688006724888,1.235174825,Mn,1.235174825,0.5229384177369605,2.5551137643037922,2.5551137643037922,8.519193111190342,221.0,Pm-3m,2.5156524337315203,2,4.0,85
86,Fe3Pt,Fe3Pt,close packed,,,462.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(89)90212-6"">http://dx.doi.org/10.1016/0304-8853(89)90212-6</a>",,,0.1935491124999995,2.072834596509975,2.765,127.78584085638091,1488.8980832148018,2.074197575,Fe,2.074197575,-67.37740564535747,1.9016560198148222,1.9016560198148222,11.651510630885788,221.0,Pm-3m,2.633848591969113,2,4.0,86
87,Fe3Pd,Fe3Pd,close packed,,,575.0,"<a href=""http://dx.doi.org/10.1109/20.951271"">http://dx.doi.org/10.1109/20.951271</a>",,,0.26905411999999984,2.1097466370078126,2.775,168.81940380536952,1496.4661200281746,2.070229175,Fe,2.070229175,-75.2030998996633,2.147585217316177,2.147585217316177,8.864301651920522,221.0,Pm-3m,2.627723109771457,2,4.0,87
88,FePd3,FePd3,close packed,,,543.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(89)90212-6"">http://dx.doi.org/10.1016/0304-8853(89)90212-6</a>",,,0.35165762749999985,0.7418863279574808,3.299,63.50723816264779,676.1722578350069,1.06633315,Fe,1.06633315,-42.49944547466878,2.34646359806338,2.34646359806338,10.647168376355284,221.0,Pm-3m,2.7449911125769964,2,4.0,88
89,Fe4N,Fe4N,antiperovskite,,,769.0,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",,,0.2583834999999993,1.9305740164340082,2.98,232.01578747040168,1686.0082644240656,1.97233526,Fe,2.465419075,-44.34284347757222,1.979828590322579,2.4747857379032236,7.266782501337976,221.0,Pm-3m,2.6767394902137998,2,5.0,89
90,Fe16N2,Fe16N2,close packed,,,810.0,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",,,0.04188535666666679,2.1695897501317982,2.791,213.36829507861572,1650.1233986734348,1.9558938666666665,Fe,2.2003806,-49.58700986191244,1.5306083221697293,1.7219343624409456,7.73368601021743,225.0,Fm-3m,2.5256844439335056,2,9.0,90
91,MnBi,MnBi,NiAs,,,633.0,"<a href=""https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ"">https://books.google.com/books/about/Magnetism_and_Magnetic_Materials.html?id=hKU_kgEACAAJ</a>",,,0.07734434000000068,0.09949216536372706,2.909,60.391351044069694,673.3192858180913,1.4268927,Mn,2.8537854,-33.18625035777166,1.4860864294491514,2.9721728588983027,11.149266810188541,194.0,P6_3/mmc,2.3914004999999996,1,4.0,91
92,Fe5SiB2,Fe5SiB2,boride,,,784.0,"<a href=""http://dx.doi.org/10.1051/jphyscol:19766122"">http://dx.doi.org/10.1051/jphyscol:19766122</a>",,,0.07213081187500059,2.4416067576129006,2.129,147.15647562721833,1037.126219717723,1.08336050625,Fe,1.73337681,-33.6834574006922,0.24769442157737964,0.3963110745238074,7.0477783277781505,140.0,I4/mcm,2.476725884502062,2,16.0,92
93,Fe5PB2,Fe5PB2,boride,,,640.0,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",,,0.0729386981250002,0.9862896930863575,2.048,143.1345278765287,1038.6580275600957,1.0630037625,Fe,1.70080602,-37.334416706848685,1.136208633086249,1.8179338129379985,7.256516250614717,140.0,I4/mcm,2.468433091808096,2,16.0,93
94,Fe4CoPB2,Fe4CoPB2,boride,,,515.0,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",,,0.05179551999999976,0.844658714103912,1.574,108.56010508924668,809.4186439784946,0.81373660625,Fe,1.30197857,-44.739708497687545,1.0807503625787385,1.7292005801259815,7.455949340810567,140.0,I4/mcm,2.468996518066045,2,16.0,94
95,Fe4MnPB2,Fe4MnPB2,boride,,,650.0,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",,,0.08259317812499933,1.3292063213715979,2.153,140.65606840409046,1010.8182721995381,1.04174205625,Mn,1.6667872899999998,-32.28053671702452,1.5883233838541524,2.541317414166644,7.186453337338855,140.0,I4/mcm,2.476419367450473,2,16.0,95
96,Fe4CoSiB2,Fe4CoSiB2,boride,,,675.0,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",,,0.04989457437500011,2.347075001590808,1.647,117.85294572375977,852.2045495142339,0.875774775,Fe,1.40123964,-34.041124523165614,0.7714447835077497,1.2343116536123995,7.2310839943852585,140.0,I4/mcm,2.476191696711523,2,16.0,96
97,Fe4MnSiB2,Fe4MnSiB2,boride,,,770.0,"<a href=""http://dx.doi.org/10.1063/1.4934496"">http://dx.doi.org/10.1063/1.4934496</a>",,,0.07596287000000057,2.0325451848340603,2.144,141.5071963564606,989.9070655850096,1.03889828125,Mn,1.66223725,13.51909367449054,0.9517760646161402,1.5228417033858244,6.995453878482659,140.0,I4/mcm,2.483659330840725,2,16.0,97
98,Mn5SiB2,Mn5SiB2,boride,,,628.0,"<a href=""http://dx.doi.org/10.1051/jphyscol:19766122"">http://dx.doi.org/10.1051/jphyscol:19766122</a>",,,0.06774140187499889,1.0178630934176078,1.687,131.51101024829936,898.2346082997086,0.954831525,Mn,1.52773044,47.83290226559862,1.4280655402960545,2.2849048644736873,6.830109559677147,140.0,I4/mcm,2.5019641635233136,2,16.0,98
99,BaRuO3,BaRuO3,oxide,,,60.0,"<a href=""http://dx.doi.org/10.1073/pnas.071092810"">http://dx.doi.org/10.1073/pnas.071092810</a>",,,0.019029838000000153,0.3449645405998025,1.532,43.30400571483042,307.7759964873592,0.44412029999999997,Ru,2.2206015,-10.26046728855058,2.122417239999982,10.612086199999911,7.107333176384522,221.0,Pm-3m,4.059782029999999,1,5.0,99
100,Sr3Ru2O7,Sr3Ru2O7,oxide,,,104.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.55.R672"">http://dx.doi.org/10.1103/PhysRevB.55.R672</a>",,,0.006423640833332911,1.8509170182536556,1.408,39.74630479112673,234.60850031536523,0.3421881666666667,Ru,2.053129,-55.666131848268606,0.6783377177177177,4.070026306306306,5.902649354405923,139.0,I4/mmm,3.989504169999999,1,12.0,100
101,Mn3InC,Mn3InC,antiperovskite,,,272.0,"<a href=""http://dx.doi.org/10.1016/S0022-4596(05)80281-6"">http://dx.doi.org/10.1016/S0022-4596(05)80281-6</a>",,,0.13237206399999907,0.9308868011282881,2.515,115.97733802717973,915.0146009100074,1.21124296,Mn,2.018738266666667,-87.97200873678804,1.775129275882345,2.9585487931372416,7.889598230781692,221.0,Pm-3m,2.7893317706419456,1,5.0,101
102,Fe3GaC,Fe3GaC,antiperovskite,,,510.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",,,0.03808263799999878,0.34185679542275277,1.245,70.07610902812907,546.8906578543816,0.62552482,Fe,1.0425413666666665,-80.98208739797936,1.7577277425648834,2.929546237608139,7.8042383551126635,221.0,Pm-3m,2.656728085463507,1,5.0,102
103,Fe3ZnC,Fe3ZnC,antiperovskite,,,368.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",,,0.10576986399999981,0.45627069693007505,1.676,93.82885819704622,713.5227508011297,0.8230553199999999,Fe,1.3717588666666665,-87.79960604963219,2.552578931636309,4.254298219393848,7.6045127747658325,221.0,Pm-3m,2.664236824088655,1,5.0,103
104,Mn3ZnC,Mn3ZnC,antiperovskite,,,353.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",,,0.14196704800000076,1.4362909713646672,2.741,161.69125298701564,1122.0096601881332,1.40258164,Mn,2.3376360666666667,-76.19752826993253,1.4221877808032766,2.370312968005461,6.9392106218524665,221.0,Pm-3m,2.736589213234395,1,5.0,104
105,Mn3GeC,Mn3GeC,antiperovskite,,,330.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/3/019"">http://dx.doi.org/10.1088/0305-4608/6/3/019</a>",,,0.08247490599999878,0.21823142262697098,1.219,65.11897368220254,495.7731943003934,0.5817330000000001,Mn,0.9695550000000001,-55.09175314856751,2.46957977111865,4.115966285197749,7.613344717622471,221.0,Pm-3m,2.67945198718177,1,5.0,105
106,Fe3RhN,Fe3RhN,antiperovskite,,,505.0,"<a href=""http://dx.doi.org/10.1002/anie.200502579"">http://dx.doi.org/10.1002/anie.200502579</a>",,,0.169780188,1.5642615114584717,2.64,168.85579351106287,1417.2939220381081,1.7199841599999999,Fe,2.1499802,-44.14488017337205,2.1263578675766133,2.6579473344707667,8.393516695921077,221.0,Pm-3m,2.709696188721053,2,5.0,106
107,CrMn2B4,CrMn2B4,boride,,,440.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.044146205714286325,1.2540927112394373,1.754,90.90171299496154,559.3949090631723,0.4769257714285714,Mn,1.6692402,-23.850746030730143,0.8330877132292912,2.915806996302519,6.153843427507007,71.0,Immm,2.656041900205936,1,7.0,107
108,MoMn2B4,MoMn2B4,boride,,,590.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.06471025571428564,1.0677810571510906,1.829,78.65173083933279,547.3252147122505,0.5010616999999999,Mn,1.75371595,-49.01209206594341,1.176521868131868,4.1178265384615385,6.95884513756358,71.0,Immm,2.704447855003745,1,7.0,108
109,WMn2B4,WMn2B4,boride,,,560.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.06159561142857127,1.1325265833680551,1.83,58.3638940831242,546.8468898465281,0.5030388285714286,Mn,1.7606359,-44.23618787170472,1.1961050838150242,4.186367793352585,9.369609386715815,71.0,Immm,2.7125164912011,1,7.0,109
110,TaMn2B4,TaMn2B4,boride,,,780.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.08016865571428562,1.3979999318199998,2.05,66.7346856314899,599.8842728430469,0.5702499285714285,Mn,1.99587475,-38.07501740492062,0.7196555115738263,2.518794290508392,8.989092660983202,71.0,Immm,2.721620975446414,1,7.0,110
111,CrNiAs,CrNiAs,Fe2P,,,182.0,"<a href=""http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379"">http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379</a>",,,0.11638949666666715,2.3061950784948566,2.96,90.00328672423147,687.2268093595144,0.9970521666666667,Cr,2.9911565,51.300671224131044,1.5382453486666703,4.614736046000011,7.635574592571998,189.0,P-62m,3.269962204478484,1,9.0,111
112,CrNiP,CrNiP,Ni2In-TiNiSi,,,140.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.04705250916666633,1.8389908040386642,2.478,104.28116639637311,698.2900124811925,0.881695625,Cr,2.645086875,-47.06127193849557,1.0064867623896212,3.019460287168864,6.696223648160873,62.0,Pnma,2.944155145500465,1,12.0,112
113,FeCoP,FeCoP,Ni2In-TiNiSi,,,425.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.08726507749999968,2.1620503662075437,1.782,77.98099264029094,581.3287985805242,0.6783576416666667,Fe,1.0175364625,25.238043929607063,1.6513608080555524,2.4770412120833285,7.454749919151008,62.0,Pnma,2.5262679973989455,2,12.0,113
114,FeNiP,FeNiP,Fe2P,,,95.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.05464244111111169,0.6795262064967851,1.382,45.57456305038384,335.81950446144623,0.39580144444444443,Fe,1.1874043333333333,-67.71991789956698,2.120839698689466,6.3625190960683975,7.368573212434077,189.0,P-62m,3.0508629859013907,1,9.0,114
115,MnCoAs,MnCoAs,Ni2In-TiNiSi,,,350.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.20124497583333323,4.68948546996153,3.043,91.6708143824469,747.2601313171286,1.0329330583333334,Mn,3.098799175,-54.28747091636721,1.834947388869046,5.504842166607138,8.151559865057921,62.0,Pnma,3.008731240530137,1,12.0,115
116,FeCoAs,FeCoAs,Fe2P,,,300.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.1360114755555557,0.6793955497766972,2.13,64.53092228346021,549.3013010234101,0.7306178888888889,Fe,1.64389025,-52.714614511425026,2.5462909088194587,5.729154544843782,8.51221835340482,189.0,P-62m,2.719856790978419,2,9.0,116
117,MnCoSb,MnCoSb,half heusler,,,478.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.38172552666666704,0.9993437432277444,3.188,70.93844884702047,565.8071707126119,0.9976314333333334,Mn,2.9928943,100.0,2.8323812218320668,8.4971436654962,7.97602964131315,216.0,F-43m,4.109005594776605,1,3.0,117
118,MnPtSb,MnPtSb,half heusler,,,572.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.20311193666666702,0.013487633054389396,3.638,58.15247787046843,651.5100996993781,1.2903639,Mn,3.8710917,-72.7534664577331,2.1993651178215217,6.598095353464565,11.203479603235177,216.0,F-43m,4.271363421139625,1,3.0,118
119,MnPtSn,MnPtSn,half heusler,,,330.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.562480466666667,1.2976366342778518,3.751,55.547647834622026,569.1476436485423,1.2224528666666667,Mn,3.6673586,-27.069796934179713,3.3075878912568175,9.922763673770453,10.246116007342456,216.0,F-43m,4.3883901732535575,1,3.0,119
120,VCoSb,VCoSb,half heusler,,,58.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.32.91"">http://dx.doi.org/10.1143/JPSJ.32.91</a>",,,0.042400936666666666,0.24353215730278596,1.172,24.084200436812804,187.87727193057123,0.3329595,V,0.49943925,100.0,4.083415952452827,6.1251239286792405,7.800851534327875,216.0,F-43m,2.5205241473994073,2,3.0,120
